"study2022"	"outcome"	"reference"	"pub_year"	"location1"	"location2"	"coordinate1"	"coordinate2"	"dd_lat"	"dd_long"	"gradient1"	"gradient2"	"gai"	"n_sp_paper"	"n_sp_LCVP"	"n_family_LCVP"	"n_lifeform1"	"n_lifeform2"	"n_lifeform3"	"n_lifestage"	"t_sp_paper"	"t_sp_LCVP"	"t_family_LCVP"	"t_lifeform1"	"t_lifeform2"	"t_lifeform3"	"t_lifestage3"	"t_lifestage1"	"t_lifestage3.1"	"lifeform1_similarity"	"lifeform2_similarity"	"lifestage_n_t"	"performance1"	"performance2"	"interaction_type"	"study_type"	"MEANc"	"MEANn"	"SDc"	"SDn"	"Nc"	"Nn"	"SE_c"	"SE_n"	"sucess_c"	"sucess_n"	"fail_c"	"fail_n"	"data_type"	"phylo_dist"	"zoneclima"	"effectsize"	"es_variance"	"lifeform_n_t"	"e_n"
"84"	"84_07"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Ammophila breviligulata"	"Calamagrostis breviligulata (Fernald) Saarela "	"Poaceae"	"grass"	"grass"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"dry biomass (g)"	"growth_size"	"inter"	"observational"	2	4.34	0.82	1.83	10	10	0.26	0.58	NA	NA	NA	NA	"hedges_d"	271.516128	"Temperate"	1.58034829039724	0.276790998224389	"w.h"	20
"84"	"84_09"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Ammophila breviligulata"	"Calamagrostis breviligulata (Fernald) Saarela "	"Poaceae"	"grass"	"grass"	"herb"	"seedling"	"seedling"	"seedling"	"0"	"0"	"impossible"	"survival"	"survival"	"inter"	"observational"	NA	NA	NA	NA	100	100	NA	NA	12	8	88	92	"odds"	271.516128	"Temperate"	-0.272676891320605	0.0846892690227221	"w.h"	200
"84"	"84_20"	"Shumway_2000"	2000	"Massachusetts"	"USA"	"41°54'N"	"69°58'W"	41.9	"-69.967"	"above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013)"	"2"	1.041	"Myrica pensylvanica"	"Morella carolinensis (Mill.) Small "	"Myricaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Ammophila breviligulata"	"Calamagrostis breviligulata (Fernald) Saarela "	"Poaceae"	"grass"	"grass"	"herb"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"impossible"	"density (flowering stems density per 0,25 m²)"	"reproduction"	"inter"	"observational"	0.2	1.55	0.49	1.48	20	20	0.11	0.33	NA	NA	NA	NA	"hedges_d"	271.516128	"Temperate"	1.20026171104369	0.119867880927649	"w.h"	40
"389"	"389_11"	"Cusseddu_et_al._2016"	2016	"Sardinia (Badesi)"	"Italy"	"40°56'45\"N"	"08°49'41\"E"	40.946	"8.828"	"back dunes"	"2"	0.344	"Armeria pungens"	"Armeria pungens (Link) Hoffmanns. & Link "	"Plumbaginaceae"	"sub-shrub"	"sub_shrub"	"woody"	"several"	"Carpobrotus acinaciformis"	"Carpobrotus acinaciformis (L.) L.Bolus "	"Aizoaceae"	"perennial (does it mean forb?)"	"forb"	"herb"	"several"	"not informed"	"several"	"0"	"0"	"several"	"plant coverage"	"abundance"	"inter"	"experimental"	29.5	17.5	19.7	7.9	8	8	6.97	2.79	NA	NA	NA	NA	"hedges_d"	214.102615	"Temperate"	-0.755810405348465	0.273286787574092	"w.h"	16
"389"	"389_09"	"Cusseddu_et_al._2016"	2016	"Sardinia (Badesi)"	"Italy"	"40°56'45\"N"	"08°49'41\"E"	40.946	"8.828"	"back dunes"	"2"	0.344	"Carpobrotus acinaciformis"	"Carpobrotus acinaciformis (L.) L.Bolus "	"Aizoaceae"	"perennial (does it mean forb?)"	"forb"	"herb"	"several"	"Armeria pungens"	"Armeria pungens (Link) Hoffmanns. & Link "	"Plumbaginaceae"	"sub-shrub"	"sub_shrub"	"woody"	"several"	"not informed"	"several"	"0"	"0"	"several"	"plant coverage"	"abundance"	"inter"	"experimental"	6.9	16.4	9.5	12.8	8	8	3.36	4.53	NA	NA	NA	NA	"hedges_d"	214.102615	"Temperate"	0.796725719185077	0.275876260944342	"h.w"	16
"389"	"389_20"	"Cusseddu_et_al._2016"	2016	"Sardinia (Badesi)"	"Italy"	"40°56'45\"N"	"08°49'41\"E"	40.946	"8.828"	"back dunes"	"2"	0.344	"Armeria pungens"	"Armeria pungens (Link) Hoffmanns. & Link "	"Plumbaginaceae"	"sub-shrub"	"sub_shrub"	"woody"	"adult"	"Armeria pungens"	"Armeria pungens (Link) Hoffmanns. & Link "	"Plumbaginaceae"	"sub-shrub"	"sub_shrub"	"woody"	"seedling"	"seedling"	"seedling"	"1"	"1"	"notseedling_seedling"	"survival"	"survival"	"intra"	"observational"	NA	NA	NA	NA	25	25	NA	NA	21	20	4	5	"odds"	0	"Temperate"	-0.164808312414328	0.20114565569111	"w.w"	50
"8"	"08_53"	"DAntonio_1993"	1993	"California (Vandenberg Air Force Base in northern Santa Barbara County)"	"USA"	"34°41'N"	"120°36'W"	34.683	"-120.6"	"backdune"	"2"	0.328	"Carpobrotus edulis"	"Carpobrotus edulis (L.) N.E.Br. "	"Aizoaceae"	"succulent perennial"	"forb"	"herb"	"several (less seed)"	"Carpobrotus edulis"	"Carpobrotus edulis (L.) N.E.Br. "	"Aizoaceae"	"succulent perennial"	"forb"	"herb"	"seedling"	"seedling"	"seedling"	"1"	"1"	"several"	"occurrence"	"occurrence"	"intra"	"observational"	NA	NA	NA	NA	196	160	NA	NA	61	84	135	76	"odds"	0	"Sub-tropical"	0.542111741104304	0.0179480281623369	"h.h"	352.359550561798
"8"	"08_55"	"DAntonio_1993"	1993	"California (Vandenberg Air Force Base in northern Santa Barbara County)"	"USA"	"34°41'N"	"120°36'W"	34.683	"-120.6"	"coastal scrub"	"2"	0.328	"Carpobrotus edulis"	"Carpobrotus edulis (L.) N.E.Br. "	"Aizoaceae"	"succulent perennial"	"forb"	"herb"	"several (less seed)"	"Carpobrotus edulis"	"Carpobrotus edulis (L.) N.E.Br. "	"Aizoaceae"	"succulent perennial"	"forb"	"herb"	"seedling"	"seedling"	"seedling"	"1"	"1"	"several"	"occurrence"	"occurrence"	"intra"	"observational"	NA	NA	NA	NA	47	57	NA	NA	8	0	39	57	"odds"	0	"Sub-tropical"	-1.9446652242136	0.793518758078075	"h.h"	103.038461538462
"4"	"04_01"	"DAntonio_&_Mahall_1991"	1991	"California (Vandenberg Air Force Base in northern Santa Barbara County)"	"USA"	"34°41'N"	"120°36'W"	34.683	"-120.6"	"coastal scrub"	"2"	0.328	"Carpobrotus edulis"	"Carpobrotus edulis (L.) N.E.Br. "	"Aizoaceae"	"forb"	"forb"	"herb"	"several"	"Haplopappus ericoides"	"Ericameria ericoides (Less.) Nutt. ex Jeps. "	"Asteraceae"	"shrub"	"shrub"	"woody"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"several_adult"	"percent increase in canopy area"	"growth"	"inter"	"experimental"	247	24.1	230.18	59.11	7	8	87	20.9	NA	NA	NA	NA	"hedges_d"	239.748466	"Sub-tropical"	-1.29248341035158	0.341990706582111	"h.w"	14.9333333333333
"4"	"04_06"	"DAntonio_&_Mahall_1991"	1991	"California (Vandenberg Air Force Base in northern Santa Barbara County)"	"USA"	"34°41'N"	"120°36'W"	34.683	"-120.6"	"coastal scrub"	"2"	0.328	"Carpobrotus edulis"	"Carpobrotus edulis (L.) N.E.Br. "	"Aizoaceae"	"forb"	"forb"	"herb"	"several"	"Haplopappus venetus var. sedoides"	"Isocoma menziesii (Hook. & Arn.) G.L.Nesom "	"Asteraceae"	"shrub"	"shrub"	"woody"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"several_adult"	"new branches (decline in distance from the soil to the first live branch). Quanto menor o valor melhor o efeito, então na hora de calcular vou transformar em negativo para que o controle mantenha seu efeito melhor e seja condizente com o padrão dos outros estudos."	"growth"	"inter"	"experimental"	-2.6	-47.3	5.03	34.92	7	7	1.9	13.2	NA	NA	NA	NA	"hedges_d"	239.748466	"Sub-tropical"	-1.67701812709172	0.422655808235905	"h.w"	14
"4"	"04_07"	"DAntonio_&_Mahall_1991"	1991	"California (Vandenberg Air Force Base in northern Santa Barbara County)"	"USA"	"34°41'N"	"120°36'W"	34.683	"-120.6"	"coastal scrub"	"2"	0.328	"Carpobrotus edulis"	"Carpobrotus edulis (L.) N.E.Br. "	"Aizoaceae"	"forb"	"forb"	"herb"	"several"	"Haplopappus venetus var. sedoides"	"Isocoma menziesii (Hook. & Arn.) G.L.Nesom "	"Asteraceae"	"shrub"	"shrub"	"woody"	"not_seedling"	"adult"	"not_seedling"	"0"	"0"	"several"	"percentage of branches with flowers"	"reproduction"	"inter"	"experimental"	60	86.3	19.31	10.32	7	7	7.3	3.9	NA	NA	NA	NA	"hedges_d"	239.748466	"Sub-tropical"	1.58993849545288	0.408803581566606	"h.w"	14
"184"	"184_28"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seedling"	"seedling"	"seedling"	"1"	"1"	"impossible"	"seedling growth (maximum height (mm))"	"growth_size"	"intra"	"experimental"	24.1	25.9	17.44	6.26	20	20	3.9	1.4	NA	NA	NA	NA	"hedges_d"	0	"Temperate"	0.134647886553205	0.100250033802952	"w.w"	40
"184"	"184_31"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seedling"	"seedling"	"seedling"	"1"	"1"	"impossible"	"seedling growth (maximum height (mm))"	"growth_size"	"intra"	"experimental"	19.8	23.3	25.94	6.26	20	20	5.8	1.4	NA	NA	NA	NA	"hedges_d"	0	"Temperate"	0.181801026151355	0.100455818874798	"w.w"	40
"184"	"184_34"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seed"	"seedling"	"seed"	"1"	"1"	"impossible"	"seedling emergence (%)"	"emergence"	"intra"	"experimental"	42.5	50.7	15.65	23.7	20	20	3.5	5.3	NA	NA	NA	NA	"hedges_d"	0	"Temperate"	0.400194738693968	0.102208728798483	"w.w"	40
"184"	"184_37"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seed"	"seedling"	"seed"	"1"	"1"	"impossible"	"seedling emergence (%)"	"emergence"	"intra"	"experimental"	28	40	31.3	31.75	20	20	7	7.1	NA	NA	NA	NA	"hedges_d"	0	"Temperate"	0.373069794731059	0.101919463334619	"w.w"	40
"184"	"184_30"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Erica multiflora"	"Erica multiflora L. "	"Ericaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seedling"	"seedling"	"seedling"	"1"	"1"	"impossible"	"seedling growth (maximum height (mm))"	"growth_size"	"inter"	"experimental"	24.1	26.6	17.44	5.81	20	20	3.9	1.3	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	0.188507952192566	0.100490070990588	"w.w"	40
"184"	"184_33"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Erica multiflora"	"Erica multiflora L. "	"Ericaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seedling"	"seedling"	"seedling"	"1"	"1"	"impossible"	"seedling growth (maximum height (mm))"	"growth_size"	"inter"	"experimental"	19.8	31.3	25.94	11.63	20	20	5.8	2.6	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	0.560717874449435	0.104335991734357	"w.w"	40
"184"	"184_36"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Erica multiflora"	"Erica multiflora L. "	"Ericaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seed"	"seedling"	"seed"	"1"	"1"	"impossible"	"seedling emergence (%)"	"emergence"	"inter"	"experimental"	42.5	44.4	15.65	29.52	20	20	3.5	6.6	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	0.0788211641361988	0.10008568115928	"w.w"	40
"184"	"184_39"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Erica multiflora"	"Erica multiflora L. "	"Ericaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seed"	"seedling"	"seed"	"1"	"1"	"impossible"	"seedling emergence (%)"	"emergence"	"inter"	"experimental"	28	48.7	31.3	35.78	20	20	7	8	NA	NA	NA	NA	"hedges_d"	247.468472	"Temperate"	0.603553655235122	0.105023789260333	"w.w"	40
"184"	"184_29"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Pistacia lentiscus"	"Pistacia lentiscus L. "	"Anacardiaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seedling"	"seedling"	"seedling"	"1"	"1"	"impossible"	"seedling growth (maximum height (mm))"	"growth_size"	"inter"	"experimental"	24.1	34	17.44	5.37	20	20	3.9	1.2	NA	NA	NA	NA	"hedges_d"	208.516116	"Temperate"	0.751985158300981	0.107798627603094	"w.w"	40
"184"	"184_32"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Pistacia lentiscus"	"Pistacia lentiscus L. "	"Anacardiaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seedling"	"seedling"	"seedling"	"1"	"1"	"impossible"	"seedling growth (maximum height (mm))"	"growth_size"	"inter"	"experimental"	19.8	31.7	25.94	7.6	20	20	5.8	1.7	NA	NA	NA	NA	"hedges_d"	208.516116	"Temperate"	0.610216807513661	0.105135325486916	"w.w"	40
"184"	"184_35"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Pistacia lentiscus"	"Pistacia lentiscus L. "	"Anacardiaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seed"	"seedling"	"seed"	"1"	"1"	"impossible"	"seedling emergence (%)"	"emergence"	"inter"	"experimental"	42.5	57.4	15.65	24.15	20	20	3.5	5.4	NA	NA	NA	NA	"hedges_d"	208.516116	"Temperate"	0.717667158395609	0.107103065012055	"w.w"	40
"184"	"184_38"	"Rodriguez-Perez_&_Traveset_2007"	2007	"Balearic Islands (Mallorca)"	"Spain"	"39°46'N"	"03°08'E"	39.767	"3.133"	"coastal shrubland located in fixed dunes"	"2"	0.462	"Pistacia lentiscus"	"Pistacia lentiscus L. "	"Anacardiaceae"	"shrub"	"shrub"	"woody"	"not informed (probably adult)"	"Daphne gnidium"	"Daphne gnidium L. "	"Thymelaeaceae"	"shrub"	"shrub"	"woody"	"seed"	"seedling"	"seed"	"1"	"1"	"impossible"	"seedling emergence (%)"	"emergence"	"inter"	"experimental"	28	51.1	31.3	31.75	20	20	7	7.1	NA	NA	NA	NA	"hedges_d"	208.516116	"Temperate"	0.718159354857288	0.107112811319346	"w.w"	40
"205"	"205_07"	"Bonanomi_et_al._2008"	2008	"Fano, Italy"	"Italy"	"43°52'00\"N"	"12°58'58\"E"	43.844	"13.015"	"early stage (open shrub)"	"2"	0.667	"Medicago marina"	"Medicago marina L. "	"Fabaceae"	"shrub"	"shrub"	"woody"	"not informed"	"Lophochloa pubescens"	"Rostraria litorea (All.) Holub "	"Poaceae"	"grass"	"grass"	"herb"	"several"	"not informed"	"several"	"0"	"0"	"notinformed_several"	"abundance (density 2004)"	"abundance"	"inter"	"observational"	87	348	114.32	242.49	12	12	33	70	NA	NA	NA	NA	"hedges_d"	271.516128	"Temperate"	1.32926132344633	0.21027456591374	"w.h"	24
