checking,researcher,study2013,study2017,study2020,study2022,outcome,reference,doi,pub_year,start_date,end_date,location1,location2,coordinate1,coordinate2,dd_lat,dd_long,region1,region2,climate1,climate2,map1,map2,gai,gradient1,gradient2,n_type,n_sp_paper,n_sp,n_sp_LCVP,n_family_paper,n_family,n_family_LCVP,n_lifeform1,n_lifeform2,n_lifeform3,n_origin1,n_origin2,n_origin3,n_lifestage,t_sp_paper,t_sp,t_sp_LCVP,t_family_paper,t_family,t_family_LCVP,t_lifeform1,t_lifeform2,t_lifeform3,t_origin1,t_origin2,t_origin3,t_lifestage1,t_lifestage2,t_lifestage3,lifeform1_similarity,lifeform2_similarity,lifestage_n_t,interaction_type,performance1,performance2,study_type,duration,net_interaction,last_year,obs,suitable_meta,suitable_meta_reason,suitable_for_master_project,suitable_master_reason,target_sp_plot,data_location,differences_within_outcomes,cID,nID,MEANc,MEANn,SDc,SDn,Nc,Nn,SE_c,SE_n,sucess_c,sucess_n,fail_c,fail_n,data_type,ask_data,status_oct2017,status_email,answer_obs
dri -> Marina,luanne,225_59,84,84,84,84_15,Shumway_2000,10.1007/s004420050033,2000,oct/1998,oct/1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Solidago sempervirens,solidago sempervirens,,Asteraceae,asteraceae,,forb,forb,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,number of flower,reproduction,observational,30,positive,1998,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 2,performance estimator is number of flowers for adults of solidago sempervirens,84_05,84_05,2340.50,7250.32,1167.80,4486.17,10.00,10.00,369.29,1418.65,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_16,Shumway_2000,10.1007/s004420050033,2000,1998,1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Solidago sempervirens,solidago sempervirens,,Asteraceae,asteraceae,,forb,forb,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,dry biomass (g),growth_size,observational,30,positive,1998,The control is an open area dominated by Ammophila,yes,yes,yes,,single sps,table 2,performance estimator is growth_size for adults of solidago sempervirens,84_06,84_06,5.65,22.07,1.90,12.97,10.00,10.00,0.60,4.10,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_17,Shumway_2000,10.1007/s004420050033,2000,may/1993,aug/1993,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,467",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Solidago sempervirens,solidago sempervirens,,Asteraceae,asteraceae,,forb,forb,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249870-1#distribution-map),native_state,native,seedling,seedling,seedling,0,0,impossible,inter,survival,survival,observational,3 months,neutral,1993,Sample size of control (Nc) and sample size of neighbor treatment (Nn) are APPROXIMATELY =100. The control is an open area dominated by Ammophila.,yes,yes,yes,,single sps,page 142 (Seedling Survival),performance estimator is survival for seedlings of solidago sempervirens,84_07,84_07,NA,NA,NA,NA,100.00,100.00,NA,NA,21.00,22.00,79.00,78.00,odds,yes about life stage,ok,no answer,na
dri -> Marina,luanne,225_59,84,84,84,84_20,Shumway_2000,10.1007/s004420050033,2000,oct/1998,oct/1998,Massachusetts,USA,41°54'N,69°58'W,"41,9","-69,967",not informed,temperate,not informed,hemiboreal,"not informed (but see http://www.worldclimate.com/climate/us/massachusetts/provincetown, because Cape Cod next city is Provincetown MA)",1066,"1,041",above the scarp dropping off to the Atlantic Ocean (Camila used primary dunes in 2013),2,isolated_obs,Myrica pensylvanica,myrica pensylvanica,,Myricaceae,myricaceae,,shrub,shrub,woody,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:166255-2#distribution-map),native_coastal,native,not informed (probably adult),Ammophila breviligulata,ammophila breviligulata,,Poaceae,poaceae,,grass,graminoid,herb,not informed (native) (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165977-1#distribution-map),native_state,native,adult,adult,not_seedling,0,0,impossible,inter,"density (flowering stems density per 0,25 m²)",reproduction,observational,30,positive,1998,"The authors call this performance estimator ""growth"" because they used plants of ""same size and leaf number"" in the beginning.",yes,yes,yes,,single sps,table 1,performance estimator is density of flowering stems for adults of ammophila breviligulata,84_09,84_09,0.20,1.55,0.49,1.48,20.00,20.00,0.11,0.33,NA,NA,NA,NA,hedges_d,yes about life stage,ok,no answer,na
marina,camila,208_56,101,101,101,101_02,Gagne_&_Houle_2001,10.1139/b01-111,2001,jun_aug/1996,jun_aug/1997,"Quebec, Canada",Canada,55°17'N,77°45'W,"55,283","-77,75",subarctic,subartic,not informed,hemiboreal,650,650,"1,287",embryo dunes,1,patch_mono,Honckenya peploides,honckenya peploides,,Carophyllaceae,carophyllaceae,,forb,forb,herb,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:154821-1),native_state,native,not informed (probably adult),Leymus mollis,leymus mollis,,Poaceae,poaceae,,grass,graminoid,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:139357-2#distribution-map),native_state,native,seedling,seedling,seedling,0,1,impossible,inter,abundance (density 1997),abundance,observational,70,neutral,1997,na,yes,yes,yes,,single sps,figure 2,different performance estimator,101_01,101_01,0.04,0.81,0.00,2.61,26.00,26.00,0.00,0.51,NA,NA,NA,NA,hedges_d,other outcomes and life stage,ok,sent in 2017 and 2023,no answer
marina,camila,208_56,101,101,101,101_05,Gagne_&_Houle_2001,10.1139/b01-111,2001,jun_aug/1996,jun_aug/1997,"Quebec, Canada",Canada,55°17'N,77°45'W,"55,283","-77,75",subarctic,subartic,not informed,hemiboreal,650,650,"1,287",embryo dunes,1,patch_mono,Honckenya peploides,honckenya peploides,,Carophyllaceae,carophyllaceae,,forb,forb,herb,not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:154821-1),native_state,native,not informed (probably adult),Leymus mollis,leymus mollis,,Poaceae,poaceae,,grass,graminoid,herb,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:139357-2#distribution-map),native_state,native,seedling,seedling,seedling,0,1,impossible,inter,biomass (total 1997),growth,observational,30,neutral,1997,na,yes,yes,yes,,single sps,table 3,different performance estimator,101_02,101_02,18.10,17.50,7.07,5.66,50.00,50.00,1.00,0.80,NA,NA,NA,NA,hedges_d,other outcomes and life stage,ok,sent in 2017 and 2023,no answer
dri -> Marina,luanne,196_50,112,112,112,112_01,Joy_&_Young_2002,10.1023/A:1015812923216,2002,1995,1995,"Virginia (Hog Island), USA",USA,37°40' N,75°40' W,"37,667","-75,667",not informed,temperate,not informed,humid_subtropical,not informed (but see http://www.worldclimate.com/climate/us/virginia/newport-news / Newport News as next city of Hog Island in World Climate),"1154,94","0,761",mid-dune,2,isolated_obs,Juniperus virginiana,juniperus virginiana,,Cupressaceae,cupressaceae,,tree,tree,woody,"not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132551-2#distribution-map) However, it might be exotic, as the study calls it invasive ""The study site was located on the northern end of Hog Island,  300 to 500 m from the shoreline, on grass-covered dunes where Juniperus virginiana had recently invaded.""",native_state,native,not informed (probably adult),several,several,,not informed,several,,"several (herbs and wood mixed, exceto grass and sedge)",several,several,not informed (probably most native),impossible_to_know,impossible_to_know,not informed,several,several,,,,inter,richness,diversity,observational,not informed,neutral,not informed,"The authors consider a plot under the neighbour when it's 03.m away form the base of the tree and a plot on open area when it is at 3 m away from the tree. Due to difficulty in identifying grasses and sedges in a vegetative state and in determining the number of distinct individuals, they were excluded from these analyses.",yes,yes,no_1,,,table 1,richness of all dicots,112_01,112_01,4.20,4.50,2.88,2.88,13.00,13.00,0.80,0.80,NA,NA,NA,NA,hedges_d,no,ok,na,na
dri -> Marina,luanne,196_50,112,112,112,112_02,Joy_&_Young_2002,10.1023/A:1015812923216,2002,1995,1996,"Virginia (Hog Island), USA",USA,37°40'N,75°40'W,"37,667","-75,667",not informed,temperate,not informed,humid_subtropical,not informed (but see http://www.worldclimate.com/climate/us/virginia/newport-news / Newport News as next city of Hog Island in World Climate),"1154,94","0,761",mid-dune,2,isolated_obs,Juniperus virginiana,juniperus virginiana,,Cupressaceae,cupressaceae,,tree,tree,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132551-2#distribution-map),native_state,native,not informed (probably adult),several,several,,not informed,several,,several,several,several,not informed,impossible_to_know,impossible_to_know,not informed,several,several,,,,inter,abundance (density),abundance,observational,not informed,neutral,not informed,na,yes,yes,no_1,,,table 1,abundance of all dicots,112_02,112_02,22.40,14.90,24.88,18.03,13.00,13.00,6.90,5.00,NA,NA,NA,NA,hedges_d,no,ok,na,na
dri -> Marina,luanne,196_50,112,112,112,112_03,Joy_&_Young_2002,10.1023/A:1015812923216,2002,1995,1995,"Virginia (Hog Island), USA",USA,37°40' N,75°40' W,"37,667","-75,667",not informed,temperate,not informed,humid_subtropical,not informed (but see http://www.worldclimate.com/climate/us/virginia/newport-news / Newport News as next city of Hog Island in World Climate),"1154,94","0,761",mid-dune,2,isolated_obs,Juniperus virginiana,juniperus virginiana,,Cupressaceae,cupressaceae,,tree,tree,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132551-2#distribution-map),native_state,native,not informed (probably adult),several,several,,not informed,several,,"woody (it is a subset of all species considered in outcome 112_02, but Camila did not consider as pseudoreplication in 2013; she only considered ""bird-dispersed"" as pseudocreplication)",woody,woody,not informed (probably most native),impossible_to_know,impossible_to_know,not informed,several,several,,,,inter,richness,diversity,observational,not informed,positive,not informed,The study makes the analysis pooling woody and herbaceous species and isolating woody species - it's a pseudoreplication,no,only data about all dicots was considered valid. The study makes the analysis pooling woody and herbaceous species and isolating woody species - it's a pseudoreplication,no_1,,,table 1,richness of woody species not dispersed by birds,112_03,112_03,1.50,2.50,1.08,1.08,13.00,13.00,0.30,0.30,NA,NA,NA,NA,hedges_d,no,ok,na,na
dri -> Marina,luanne,196_50,112,112,112,112_04,Joy_&_Young_2002,10.1023/A:1015812923216,2002,1995,1996,"Virginia (Hog Island), USA",USA,37°40'N,75°40'W,"37,667","-75,667",not informed,temperate,not informed,humid_subtropical,not informed (but see http://www.worldclimate.com/climate/us/virginia/newport-news / Newport News as next city of Hog Island in World Climate),"1154,94","0,761",mid-dune,2,isolated_obs,Juniperus virginiana,juniperus virginiana,,Cupressaceae,cupressaceae,,tree,tree,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132551-2#distribution-map),native_state,native,not informed (probably adult),several,several,,not informed,several,,woody species,woody,woody,not informed,impossible_to_know,impossible_to_know,not informed,several,several,,,,inter,abundance (density),abundance,observational,not informed,positive,not informed,na,no,only data about all dicots was considered valid. The study makes the analysis pooling woody and herbaceous species and isolating woody species - it's a pseudoreplication,no_1,,,table 1,abundance of woody species not dispersed by birds,112_04,112_04,2.90,5.50,2.52,3.61,13.00,13.00,0.70,1.00,NA,NA,NA,NA,hedges_d,no,ok,na,na
dri -> Marina,luanne,196_50,112,112,112,112_05,Joy_&_Young_2002,10.1023/A:1015812923216,2002,1995,1995,"Virginia (Hog Island), USA",USA,37°40' N,75°40' W,"37,667","-75,667",not informed,temperate,not informed,humid_subtropical,not informed (but see http://www.worldclimate.com/climate/us/virginia/newport-news / Newport News as next city of Hog Island in World Climate),"1154,94","0,761",mid-dune,2,isolated_obs,Juniperus virginiana,juniperus virginiana,,Cupressaceae,cupressaceae,,tree,tree,woody,not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132551-2#distribution-map),native_state,native,not informed (probably adult),several,several,,not informed,several,,"several (herbs and wood mixed, exceto grass and sedge)",several,several,not informed (probably most native),impossible_to_know,impossible_to_know,seed,seed,seed,,,,inter,richness,diversity,observational,not informed,not informed,not informed,"The authors consider a plot under the neighbour when it's 03.m away form the base of the tree and a plot on open area when it is at 3 m away from the tree. Due to difficulty in identifying grasses and sedges in a vegetative state and in determining the number of distinct individuals, they were excluded from these analyses.",no,data about seeds was considered invalid because it depends on dispersal capacity ,no_1,,,table 1,richness of all dicots (seed,112_05,112_05,2.70,4.00,1.80,NA,13.00,13.00,0.50,0.60,NA,NA,NA,NA,hedges_d,no,ok,na,na
