"","X.2","X.1","X","checking","researcher","study2013","study2017","study2020","study2022","outcome","reference","doi","pub_year","start_date","end_date","location1","location2","coordinate1","coordinate2","dd_lat","dd_long","region1","region2","climate1","climate2","map1","map2","gai","gradient1","gradient2","n_type","n_sp_paper","n_sp","n_sp_LCVP","n_family_paper","n_family","n_family_LCVP","n_lifeform1","n_lifeform2","n_lifeform3","n_origin1","n_origin2","n_origin3","n_lifestage","t_sp_paper","t_sp","t_sp_LCVP","t_family_paper","t_family","t_family_LCVP","t_lifeform1","t_lifeform2","t_lifeform3","t_origin1","t_origin2","t_origin3","t_lifestage1","t_lifestage2","t_lifestage3","lifeform1_similarity","lifeform2_similarity","lifestage_n_t","interaction_type","performance1","performance2","study_type","duration","net_interaction","last_year","obs","suitable_meta","suitable_meta_reason","suitable_for_master_project","suitable_master_reason","target_sp_plot","data_location","differences_within_outcomes","cID","nID","MEANc","MEANn","SDc","SDn","Nc","Nn","SE_c","SE_n","sucess_c","sucess_n","fail_c","fail_n","data_type","ask_data","status_oct2017","status_email","answer_obs","phylo_dist"
"37",37,37,86,"marina","camila","208_56","101","101",101,"101_05","Gagne_&_Houle_2001","10.1139/b01-111",2001,"jun_aug/1996","jun_aug/1997","Quebec, Canada","Canada","55°17'N","77°45'W","55,283","-77,75","subarctic","subartic","not informed","hemiboreal","650","650","1,287","embryo dunes","1","patch_mono","Honckenya peploides","honckenya peploides","Honckenya peploides (L.) Ehrh. ","Carophyllaceae","carophyllaceae","Caryophyllaceae","forb","forb","herb","not informed (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:154821-1)","native_state","native","not informed (probably adult)","Leymus mollis","leymus mollis","Leymus mollis (Trin.) Pilg. ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:139357-2#distribution-map)","native_state","native","seedling","seedling","seedling",0,1,"impossible","inter","biomass (total 1997)","growth","observational","30","neutral","1997","na","yes","yes","yes",NA,"single sps","table 3","different performance estimator","101_02","101_02",18.1,17.5,7.07,5.66,50,50,1,0.8,NA,NA,NA,NA,"hedges_d","other outcomes and life stage","ok","sent in 2017 and 2023","no answer",271.516129
"38",38,38,87,"camila","luanne","after_2013","389","389",389,"389_16","Cusseddu_et_al._2016","10.7717/peerj.2199",2016,"oct/2013","over_3_seasons","Sardinia (Badesi)","Italy","40°56'45""N","08°49'41""E","40,946","8,828","not informed","temperate","mediterranean","mediterranean","not informed (but see https://weather-and-climate.com/average-monthly-precipitation-Rainfall,badesi-sardinia-it,Italy) / https://www.researchgate.net/publication/260409523_Exploitation_of_Annual_and_Perennial_Herbaceous_Species_for_the_Rehabilitation_of_a_Sand_Quarry_in_a_Mediterranean_Environment","600","0,344","foredune","1","patch","Pancratium maritimum","pancratium maritimum","Pancratium maritimum L. ","not informed","completar","Amaryllidaceae","forb","forb","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:66466-1#distribution-map)","native_country","native","adult","Pancratium maritimum","pancratium maritimum","Pancratium maritimum L. ","not informed","completar","Amaryllidaceae","forb","forb","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:66466-1)","native_country","native","seedling","seedling","seedling",1,1,"adult_seedling","intra","survival","survival","observational","270","neutral","not informed","na","yes","yes","yes",NA,"single sps","table S2","pair-wise species and point in the gradient","389_16","389_9",NA,NA,NA,NA,25,25,NA,NA,0,1,25,24,"odds","no","ok","na","na",0
"39",39,39,88,"camila","luanne","after_2013","389","389",389,"389_15","Cusseddu_et_al._2016","10.7717/peerj.2199",2016,"oct/2013","over_3_seasons","Sardinia (Badesi)","Italy","40°56'45""N","08°49'41""E","40,946","8,828","not informed","temperate","mediterranean","mediterranean","not informed (but see https://weather-and-climate.com/average-monthly-precipitation-Rainfall,badesi-sardinia-it,Italy) / https://www.researchgate.net/publication/260409523_Exploitation_of_Annual_and_Perennial_Herbaceous_Species_for_the_Rehabilitation_of_a_Sand_Quarry_in_a_Mediterranean_Environment","600","0,344","foredune","1","isolated_obs","Lotus cytisoides","lotus cytisoides","Lotus cytisoides L. ","not informed","completar","Fabaceae","herb (information confirmed by Valentina Cusseddu by e-mail in may 2020)","forb","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:503580-1)","native_country","native","adult","Lotus cytisoides","lotus cytisoides","Lotus cytisoides L. ","not informed","completar","Fabaceae","herb (information confirmed by Valentina Cusseddu by e-mail in may 2020)","forb","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:503580-1)","native_country","native","seedling","seedling","seedling",1,1,"adult_seedling","intra","survival","survival","observational","270","neutral","not informed","na","yes","yes","yes",NA,"single sps","table S2","pair-wise species and point in the gradient","389_15","389_8",NA,NA,NA,NA,25,25,NA,NA,0,0,25,25,"odds","no","ok","na","na",0
"40",40,40,89,"dri -> Marina","luanne","38_76","261","261",261,"261_03","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"oct/2001","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated","Carpobrotus edulis","carpobrotus edulis","Carpobrotus edulis (L.) N.E.Br. ","Aizoaceae","aizoaceae","Aizoaceae","succulent","forb","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,1,"impossible","inter","spikelets per plant","reproduction","experimental","210","positive","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 4","pair-wise combination","261_03","261_03",3.5,8.1,5.28,7.94,10,10,1.67,2.51,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2029","na",271.516128
"41",41,41,90,"dri -> Marina","luanne","38_76","261","261",261,"261_06","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated","Carpobrotus edulis","carpobrotus edulis","Carpobrotus edulis (L.) N.E.Br. ","Aizoaceae","aizoaceae","Aizoaceae","succulent","forb","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,1,"impossible","inter","aboveground biomass","growth","experimental","210","neutral","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 4","pair-wise combination and growth as performance estimator","261_06","261_06",1.38,1.43,1.04,1.3,10,10,0.34,0.42,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2026","na",271.516128
"42",42,42,128,"dri -> Marina","luanne","38_76","261","261",261,"261_09","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Carpobrotus edulis","carpobrotus edulis","Carpobrotus edulis (L.) N.E.Br. ","Aizoaceae","aizoaceae","Aizoaceae","succulent","forb","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,1,"impossible","inter","height (cm)","growth_size","observational","30","positive","2000","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination and growth_size as performance estimator","261_07","261_09",15.5,41.5,11,18.74,20,20,2.46,4.19,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2030","na",271.516128
"43",43,43,129,"dri -> Marina","luanne","38_76","261","261",261,"261_12","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Carpobrotus edulis","carpobrotus edulis","Carpobrotus edulis (L.) N.E.Br. ","Aizoaceae","aizoaceae","Aizoaceae","succulent","forb","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,1,"impossible","inter","number of spikelets","reproduction","observational","30","neutral","2000","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination, reproduction as performance estimator and observation made on different year with different individuals","261_08","261_12",2.3,5.1,2.33,8.27,20,20,0.52,1.85,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2027","na",271.516128
"44",44,44,130,"dri -> Marina","luanne","38_76","261","261",261,"261_15","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Carpobrotus edulis","carpobrotus edulis","Carpobrotus edulis (L.) N.E.Br. ","Aizoaceae","aizoaceae","Aizoaceae","succulent","forb","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,1,"impossible","inter","height (cm)","growth_size","observational","30","positive","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination, growth_size as performance estimator and observation made on different year with different individuals","261_09","261_15",4.6,16.7,2.68,6.93,20,20,0.6,1.55,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2031","na",271.516128
"45",45,45,131,"dri -> Marina","luanne","38_76","261","261",261,"261_01","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"oct/2001","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated","Ammophila arenaria","ammophila arenaria","Ammophila arenaria (L.) Link ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",1,1,"impossible","inter","spikelets per plant","reproduction","experimental","210","positive","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 4","pair-wise combination","261_01","261_01",9.6,17.2,12.05,10.59,10,10,3.81,3.35,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2032","na",71.30955
"46",46,46,132,"dri -> Marina","luanne","38_76","261","261",261,"261_04","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated","Ammophila arenaria","ammophila arenaria","Ammophila arenaria (L.) Link ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",1,1,"impossible","inter","aboveground biomass","growth","experimental","210","positive","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 4","pair-wise combination and growth as performance estimator","261_04","261_04",2.33,4.81,3.07,3,10,10,0.96,0.96,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2033","na",71.30955
"47",47,47,133,"dri -> Marina","luanne","38_76","261","261",261,"261_07","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Ammophila arenaria","ammophila arenaria","Ammophila arenaria (L.) Link ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",1,1,"impossible","inter","height (cm)","growth_size","observational","30","positive","2000","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination and growth_size as performance estimator","261_07","261_07",15.5,76.5,11,17.66,20,20,2.46,3.95,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2034","na",71.30955
"48",48,48,134,"dri -> Marina","luanne","38_76","261","261",261,"261_10","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Ammophila arenaria","ammophila arenaria","Ammophila arenaria (L.) Link ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",1,1,"impossible","inter","number of spikelets","reproduction","observational","30","positive","2000","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination, reproduction as performance estimator and observation made on different year with different individuals","261_08","261_10",2.3,20.7,2.33,18.6,20,20,0.52,4.16,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2035","na",71.30955
"49",49,49,135,"dri -> Marina","luanne","38_76","261","261",261,"261_13","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Ammophila arenaria","ammophila arenaria","Ammophila arenaria (L.) Link ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",1,1,"impossible","inter","height (cm)","growth_size","observational","30","positive","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals.","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination, growth_size as performance estimator and observation made on different year with different individuals","261_09","261_13",4.6,27.1,2.68,11.99,20,20,0.6,2.68,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2036","na",71.30955
"50",50,50,140,"camila","camila","66_06","232","232",232,"232_01","Forey_et_al._2010","10.1007/s11258-009-9642-z",2010,"sep/2003","sep/2004","Aquitaine, France (south)","France","44°43'N","01°14'W","44,717","-1,233","not informed","temperate","temperate oceanic","oceanic","875 (average year)","875","0,911","foredune","1","isolated_obs","Elymus farctus","elymus farctus","Thinopyrum junceum (L.) Á.Löve ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1166962-2#distribution-map)","native_country","native","young","Elymus farctus","elymus farctus","Thinopyrum junceum (L.) Á.Löve ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1166962-2#distribution-map)","native_country","native","young","juvenile","not_seedling",1,1,"young_notseedling","intra","biomass increment (total)","growth","experimental","365","neutral","2004","na","yes","yes","yes",NA,"single sps","figure 3a and data provided by authors (biomass increment with neighbors)","pairwise combination","232_01","232_01",0.58,1.18,0.81,0.99,15,14,0.21,0.27,NA,NA,NA,NA,"hedges_d","yes","ok","sent in 2023","answered about the life stage",0
"51",51,51,141,"camila","camila","66_06","232","232",232,"232_02","Forey_et_al._2010","10.1007/s11258-009-9642-z",2010,"sep/2003","sep/2004","Aquitaine, France (south)","France","44°43'N","01°14'W","44,717","-1,233","not informed","temperate","temperate oceanic","oceanic","875 (average year)","875","0,911","foredune","1","isolated_obs","Elymus farctus","elymus farctus","Thinopyrum junceum (L.) Á.Löve ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1166962-2#distribution-map)","native_country","native","young","Ammophila arenaria","ammophila arenaria","Ammophila arenaria (L.) Link ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1141132-2#distribution-map)","native_country","native","young","juvenile","not_seedling",1,1,"young_notseedling","inter","biomass increment (total)","growth","experimental","365","neutral","2004","na","yes","yes","yes",NA,"single sps","figure 3a and data provided by authors (biomass increment with neighbors)","pairwise combination","232_02","232_02",-0.57,1,0.8,0.39,4,3,0.4,0.23,NA,NA,NA,NA,"hedges_d","yes","ok","sent in 2023","answered about the life stage",95.480222
"52",52,52,142,"camila","camila","66_06","232","232",232,"232_15","Forey_et_al._2010","10.1007/s11258-009-9642-z",2010,"sep/2003","sep/2004","Aquitaine, France (south)","France","44°43'N","01°14'W","44,717","-1,233","not informed","temperate","temperate oceanic","oceanic","875 (average year)","875","0,911","foredune","1","isolated_obs","Elymus farctus","elymus farctus","Thinopyrum junceum (L.) Á.Löve ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1166962-2#distribution-map)","native_country","native","young","Elymus farctus","elymus farctus","Thinopyrum junceum (L.) Á.Löve ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1166962-2#distribution-map)","native_country","native","young","juvenile","not_seedling",1,1,"young_notseedling","intra","survival","survival","experimental","365","neutral","2004","na","yes","yes","yes",NA,"single sps","figure 2a and data provided by authors (survival with neighbors)","pairwise combination and/or performance estimator","232_15","232_15",83.4,75,35.03,27.95,6,6,14.3,11.41,NA,NA,NA,NA,"hedges_d","yes","ok","sent in 2023","answered about the life stage",0
"53",53,53,143,"camila","camila","66_06","232","232",232,"232_16","Forey_et_al._2010","10.1007/s11258-009-9642-z",2010,"sep/2003","sep/2004","Aquitaine, France (south)","France","44°43'N","01°14'W","44,717","-1,233","not informed","temperate","temperate oceanic","oceanic","875 (average year)","875","0,911","foredune","1","isolated_obs","Elymus farctus","elymus farctus","Thinopyrum junceum (L.) Á.Löve ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1166962-2#distribution-map)","native_country","native","young","Ammophila arenaria","ammophila arenaria","Ammophila arenaria (L.) Link ","Poaceae","poaceae","Poaceae","grass","grass","herb","not informed (but see http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1141132-2#distribution-map)","native_country","native","young","juvenile","not_seedling",1,1,"young_notseedling","inter","survival","survival","experimental","365","neutral","2004","na","yes","yes","yes",NA,"single sps","figure 2a and data provided by authors (survival with neighbors)","pairwise combination and/or performance estimator","232_16","232_16",24.7,16.67,35.27,35.36,6,6,14.4,14.43,NA,NA,NA,NA,"hedges_d","yes","ok","sent in 2023","answered about the life stage",95.480222
"54",54,54,144,"dri -> Marina","luanne","38_76","261","261",261,"261_02","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"oct/2001","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated","Baccharis pilularis","baccharis pilularis","Baccharis pilularis DC. ","Asteraceae","asteraceae","Asteraceae","shrub","shrub","woody","native","native_study","native","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,0,"impossible","inter","spikelets per plant","reproduction","experimental","210","positive","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals. This oservation can be classified as gradient stress ","yes","yes","yes",NA,"single sps","figure 4","pair-wise combination","261_02","261_02",1.2,5.7,2.15,4.33,10,10,0.68,1.37,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2037","na",271.516128
"55",55,55,145,"dri -> Marina","luanne","38_76","261","261",261,"261_05","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated","Baccharis pilularis","baccharis pilularis","Baccharis pilularis DC. ","Asteraceae","asteraceae","Asteraceae","shrub","shrub","woody","native","native_study","native","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,0,"impossible","inter","aboveground biomass","growth","experimental","210","positive","2002","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals. This oservation can be classified as gradient stress ","yes","yes","yes",NA,"single sps","figure 4","pair-wise combination and growth as performance estimator","261_05","261_05",0.53,2.92,0.51,2.63,10,10,0.17,0.83,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2038","na",271.516128
"56",56,56,146,"dri -> Marina","luanne","38_76","261","261",261,"261_08","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Baccharis pilularis","baccharis pilularis","Baccharis pilularis DC. ","Asteraceae","asteraceae","Asteraceae","shrub","shrub","woody","native","native_study","native","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,0,"impossible","inter","height (cm)","growth_size","observational","30","positive","2000","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals. This oservation can be classified as gradient stress ","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination and growth_size as performance estimator","261_07","261_08",15.5,58.1,11,18.74,20,20,2.46,4.19,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2039","na",271.516128
"57",57,57,147,"dri -> Marina","luanne","38_76","261","261",261,"261_11","Cushman_et_al._2011","10.1111/j.1365-2745.2010.01776.x",2011,"may/2000","may/2002","California","USA","38°20'N","123°03'W","38,333","-123,05","not informed","temperate","mediterranean","mediterranean","not informed (but see http://www.worldclimate.com/climate/us/california/sonoma, because Bodega Bay is in Sonoma, CA)","800","0,779","foredune","1","isolated_obs","Baccharis pilularis","baccharis pilularis","Baccharis pilularis DC. ","Asteraceae","asteraceae","Asteraceae","shrub","shrub","woody","native","native_study","native","not informed (probably adult)","Ehrharta calycina","ehrharta calycina","Ehrharta calycina Sm. ","Poaceae","poaceae","Poaceae","grass","grass","herb","exotic","exotic_study","exotic","adult","adult","not_seedling",0,0,"impossible","inter","number of spikelets","reproduction","observational","30","neutral","2000","This study did several field observations and experiments to understand not only plant interaction but also the mechanism behind it. To our purpose the experiment represented in the Fig.4 was enough. Other results was also usable but it will represent overlap of similar tests. Better explanations are as commentaries in the paper. We decided to include data from Fig.2 as it seems it is data about different individuals. This oservation can be classified as gradient stress ","yes","yes","yes",NA,"single sps","figure 2","pair-wise combination, reproduction as performance estimator and observation made on different year with different individuals","261_08","261_11",2.3,6.4,2.33,4.74,20,20,0.52,1.06,NA,NA,NA,NA,"hedges_d","yes","ok","no response about life stage until may 2028","na",271.516128
